,uarch,uarch_lower,variant,description,details,total_area_estimate
14,CV32E40PXISAACV14,cv32e40pxisaacv14,V14,all:14,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
15,CV32E40PXISAACV15,cv32e40pxisaacv15,V15,all:15,"SG1(II=1, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0
16,CV32E40PXISAACV16,cv32e40pxisaacv16,V16,all:16,"SG1(II=1, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
17,CV32E40PXISAACV17,cv32e40pxisaacv17,V17,all:17,"SG1(II=1, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
18,CV32E40PXISAACV18,cv32e40pxisaacv18,V18,all:18,"SG1(II=1, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
19,CV32E40PXISAACV19,cv32e40pxisaacv19,V19,all:19,"SG1(II=1, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
20,CV32E40PXISAACV20,cv32e40pxisaacv20,V20,all:20,"SG1(II=3, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0
21,CV32E40PXISAACV21,cv32e40pxisaacv21,V21,all:21,"SG1(II=3, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
22,CV32E40PXISAACV22,cv32e40pxisaacv22,V22,all:22,"SG1(II=3, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
23,CV32E40PXISAACV23,cv32e40pxisaacv23,V23,all:23,"SG1(II=3, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
24,CV32E40PXISAACV24,cv32e40pxisaacv24,V24,all:24,"SG1(II=3, lats={CUSTOM8: 3}, full_lats={CUSTOM8: 5}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
