,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
147,SG_28_SOL_IDX_0,0,1,False,{'CUSTOM34': 3},{},3,1.0,1.0,0.0,0
148,SG_28_SOL_IDX_1,1,1,False,{'CUSTOM34': 4},{},3,1.0,1.0,0.0,0
149,SG_28_SOL_IDX_2,2,2,False,{'CUSTOM34': 4},{},3,1.0,1.0,0.0,0
150,SG_28_SOL_IDX_3,3,1,False,{'CUSTOM34': 5},{},3,1.0,1.0,0.0,0
151,SG_28_SOL_IDX_4,4,3,False,{'CUSTOM34': 5},{},3,1.0,1.0,0.0,0
152,SG_29_SOL_IDX_0,0,1,False,{'CUSTOM35': 3},{},3,1.0,1.0,0.0,0
153,SG_29_SOL_IDX_1,1,1,False,{'CUSTOM35': 4},{},3,1.0,1.0,0.0,0
154,SG_29_SOL_IDX_2,2,2,False,{'CUSTOM35': 4},{},3,1.0,1.0,0.0,0
155,SG_29_SOL_IDX_3,3,1,False,{'CUSTOM35': 5},{},3,1.0,1.0,0.0,0
156,SG_29_SOL_IDX_4,4,3,False,{'CUSTOM35': 5},{},3,1.0,1.0,0.0,0
157,SG_30_SOL_IDX_0,0,1,False,{'CUSTOM36': 3},{},3,1.0,1.0,0.0,0
158,SG_30_SOL_IDX_1,1,1,False,{'CUSTOM36': 4},{},3,1.0,1.0,0.0,0
159,SG_30_SOL_IDX_2,2,2,False,{'CUSTOM36': 4},{},3,1.0,1.0,0.0,0
160,SG_30_SOL_IDX_3,3,1,False,{'CUSTOM36': 5},{},3,1.0,1.0,0.0,0
161,SG_30_SOL_IDX_4,4,3,False,{'CUSTOM36': 5},{},3,1.0,1.0,0.0,0
162,SG_31_SOL_IDX_0,0,1,False,{'CUSTOM37': 3},{},3,1.0,1.0,0.0,0
163,SG_31_SOL_IDX_1,1,1,False,{'CUSTOM37': 4},{},3,1.0,1.0,0.0,0
164,SG_31_SOL_IDX_2,2,2,False,{'CUSTOM37': 4},{},3,1.0,1.0,0.0,0
165,SG_31_SOL_IDX_3,3,1,False,{'CUSTOM37': 5},{},3,1.0,1.0,0.0,0
166,SG_31_SOL_IDX_4,4,3,False,{'CUSTOM37': 5},{},3,1.0,1.0,0.0,0
167,SG_32_SOL_IDX_0,0,1,False,{'CUSTOM43': 3},{},3,1.0,1.0,0.0,0
168,SG_32_SOL_IDX_1,1,1,False,{'CUSTOM43': 4},{},3,1.0,1.0,0.0,0
169,SG_32_SOL_IDX_2,2,2,False,{'CUSTOM43': 4},{},3,1.0,1.0,0.0,0
170,SG_32_SOL_IDX_3,3,1,False,{'CUSTOM43': 5},{},3,1.0,1.0,0.0,0
171,SG_32_SOL_IDX_4,4,3,False,{'CUSTOM43': 5},{},3,1.0,1.0,0.0,0
